direction,images,vit_real_rate,dct_real_rate,mean_ssim,mean_lpips,final_score,status
direction1,100,0.97,0.46,0.9429485467924701,0.159193155169487,127.93328816007468,complete
direction2,100,0.97,0.48,0.9430264611153523,0.1589663615822792,129.55759688940856,complete
direction3,100,0.16,0.82,0.9374742497576481,0.18755692653357983,85.826397002342,complete
direction4,100,0.91,0.51,0.9464005522912874,0.13546931870281698,128.77221794966704,complete
direction5,100,0.44,0.41,0.7384837398556696,0.3668531548976898,59.4219779551998,complete
